intent,예시,response,send_link,utter_ask_more,featureless,entityless
RECOMMEND_NEW,<강남>의 새로 단장한 <호텔> 추천을 희망하시는군요./<분당>의 신식인 <호텔>  추천을 희망하시는군요./새로 지은 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요.,<LOCATION-TYPE_FEATURE>에 있는 새로 단장한 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 신식인 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 새로 지은 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_UNSHARED,<강남>의 독채로 사용 가능한 <호텔> 추천을 희망하시는군요./<분당>의 독채로 사용 할 수 있는 <호텔>  추천을 희망하시는군요./독채로 이용 가능한 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 독채로 이용 할 수 있는 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 독채로 사용 가능한 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 독채로 사용할 수 있는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 독채로 이용 가능한 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 독채로 이용 할 수 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_ROOM-NUM,<강남>의 방 개수가 많은 <호텔> 추천을 희망하시는군요./<분당>의 많은 방을 갖춘 <호텔>  추천을 희망하시는군요./  <연남동>에서 방이 많이 있는 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 방 개수가 많은 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 많은 방을 갖춘 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에서 방이 많이 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_SPLITLEVEL,<강남>의 복층 구조인 <호텔> 추천을 희망하시는군요./<분당>의 복층 구조로 되어 있는 <호텔>  추천을 희망하시는군요./복층 구조로 사용 가능한 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 복층 구조 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 복층구조인 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 복층구조로 되어 있는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 복층구조로 사용 가능한 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.<LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 복층구조 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_SAFETY,<강남>의 안전이 보장되는 <호텔> 추천을 희망하시는군요./<잠실>의 안전한<모텔> 추천해드리겠습니다./<분당>의 투숙객 안전이 보장되는 <호텔>  추천을 희망하시는군요./  <연남동>에서 안전성이 높은 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 안전이 보장되는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 안전한 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 투숙객 안전이 보장되는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에서 안전성이 높은 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_REVIEW,<강남>의 재방문 의사가 높은 <호텔> 추천을 희망하시는군요./<잠실>의 리뷰 평점이 높은 <모텔> 추천해드리겠습니다./<분당>의 평점이 높은 <호텔>  추천을 희망하시는군요./평점 높은 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 후기가 좋은 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 재방문 의사가 높은 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 리뷰 평점이 높은 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 평점이 높은 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 평점 높은 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 후긱가 좋은 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_SURROUND,<강남> 주변에 <수상레저> 있는 <호텔> 추천을 희망하시는군요./<즐길거리> 주변에 위치한 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요.,<LOCATION-TYPE_FEATURE> 주변에 <SURROUND_FEATURE> 있는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <SURROUND_FEATURE> 주변에 위치한 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_SERVICE,<잠실>의 친절한 서비스를 제공하는 <모텔> 추천해드리겠습니다./<분당>의 친절한 서비스를 갖춘 <호텔>  추천을 희망하시는군요./친절한 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 서비스가 친절한 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 친절한 서비스를 제공하는 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 친절한 서비스를 갖춘 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 친절한 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 서비스가 친절한 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_TRANSPORTATION,<강남>의 교통편이 좋은 <호텔> 추천을 희망하시는군요./<잠실>의 접근성이 좋은 <모텔> 추천해드리겠습니다./<분당>의 가기 편한 <호텔>  추천을 희망하시는군요./근처 교통편이 좋은 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 쉽게 갈 수 있는 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 교통편이 좋은 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 접근성이 좋은 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 가기 편한 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 근처 교통편이 좋은 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 쉽게 갈 수 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_BAN,<강남>의 <노키즈존> 있는 <호텔> 추천을 희망하시는군요./<잠실>의 <노키즈존> 갖춘 <모텔> 추천해드리겠습니다./<분당>의 <금연시설> 제공하는 <호텔>  추천을 희망하시는군요./  <연남동>에서 <금연실> 구비되어 있는 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 <BAN_FEATURE> 있는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 <BAN_FEATURE> 갖춘 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 <BAN_FEATURE> 제공하는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에서 <BAN_FEATURE> 구비되어 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_GOOD-TO-GO,<강남>의 <MT로> 가기  좋은 <호텔> 추천을 희망하시는군요./<분당>의 <혼자> 가기 괜찮은 <호텔>  추천을 희망하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 <GOOD-TO-GO_FEATURE> 가기 좋은 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 <GOOD-TO-GO_FEATURE> 가기 괜찮은 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_NATURE,<강남> 주변에 <바다> 있는 <호텔> 추천을 희망하시는군요./<잠실> 주변에 <강> 위치한 <모텔> 추천해드리겠습니다./<분당> 주변에 <계곡> 보이는 <호텔>  추천을 희망하시는군요./<호수> 주변에 있는 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동> 주변에 <산> 가까운 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE> 주변에 <NATURE_FEATURE> 있는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE> 주변에 <NATURE_FEATURE>위치한 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE> 주변에 <NATURE_FEATURE> 보이는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <NATURE_FEATURE> 주변에 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE> 주변에 <NATURE_FEATURE> 가까운 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_VIEW-GOOD,<강남>의 뷰가 예쁜 <호텔> 추천을 희망하시는군요./<잠실>의 뷰 맛집인 <모텔> 추천해드리겠습니다./<분당>의 뷰가 좋은 <호텔>  추천을 희망하시는군요./전망이 예쁜 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 전망이 좋은 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 뷰가 예쁜 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 뷰 맛집인 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 뷰가 좋은 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 전망이 예쁜 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 전망이 좋은 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_SCENT-GOOD,<강남>의 향이 좋은 <호텔> 추천을 희망하시는군요./<분당>의 좋은 향이 나는 <호텔>  추천을 희망하시는군요./좋은 향이 있는 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요.,<LOCATION-TYPE_FEATURE>에 있는 향이 좋은 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 좋은 향이 나는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 좋은 향이 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_EXOTIC,<강남>의 이국적인 <호텔> 추천을 희망하시는군요./<잠실>의 이국적인 느낌의 <모텔> 추천해드리겠습니다./<분당>의 이국적인 느낌이 나는 <호텔>  추천을 희망하시는군요./이국적으로 느껴지는 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 이국적인 분위기인 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 이국적인 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 이국적인 느낌의 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 이국적인 느낌이 나는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 이국적으로 느껴지는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 이국적인 분위기인<ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_TRADITIONAL,<강남>의 전통적인 <호텔> 추천을 희망하시는군요./<잠실>의 전통적인 느낌이 나는 <모텔> 추천해드리겠습니다./<분당>의 전통적인 느낌의 <호텔>  추천을 희망하시는군요./전통적으로 느껴지는 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 전통적인 분위기인 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 전통적인 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 전통적인 느낌이 나는 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 전통적인 느낌의 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 전통적으로 느껴지는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 전통적인 분위기인 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_LUXURY,<강남>의 고급스러운 <호텔> 추천을 희망하시는군요./<잠실>의 럭셔리한 <모텔> 추천해드리겠습니다./고급스러운 느낌의 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./  <연남동>에서 고급스러운 분위기인 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 고급스러운 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 럭셔리한 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / 고급스러운 느낌의 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 고급스러운 분위기인 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_HOME-LIKE,<강남>의 집 같은 <호텔> 추천을 희망하시는군요./<잠실>의 집 같이 아늑한 <모텔> 추천해드리겠습니다./<분당>의 집 같은 분위기의 <호텔>  추천을 희망하시는군요./  <연남동>에서 집 같은 분위기인<게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 집 같은 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 집 같이 아늑한 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 집 같은 분위기의 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에서 집 같은 분위기인 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_SMOKE,<강남>의 흡연 가능한 <호텔> 추천을 희망하시는군요./<잠실>의 흡연이 가능한 <모텔> 추천해드리겠습니다./<분당>의 흡연 가능한 시설을 갖춘 <호텔>  추천을 희망하시는군요./흡연 할 수 있는 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요.,<LOCATION-TYPE_FEATURE>에 있는 흡연 가능한 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 흡연이 가능한 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 흡연 가능한 시설을 갖춘 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 흡연 할 수 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_ALCOHOL,<강남>의 음주 가능한 <호텔> 추천을 희망하시는군요./<잠실>의 음주가 가능한 <모텔> 추천해드리겠습니다./주류 반입 가능한 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./<연남동>에서 술을 마실 수 있는 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 음주 가능한 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 음주가 가능한 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / 주류반입 가능한 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 술을 마실 수 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_TEENAGE,<강남>의 미성년자 출입 가능한 <호텔> 추천을 희망하시는군요./<잠실>의 미성년자 출입이 가능한 <모텔> 추천해드리겠습니다./<분당>의 미성년자가 출입 할 수 있는 <호텔>  추천을 희망하시는군요./청소년 출입 가능한 <게스트하우스> 원하시는군요. <연남동>에서 찾아드릴게요./<연남동>에서 10대 청소년이 출입 가능한 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 미성년자 출입 가능한 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 미성년자 출입이 가능한 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 미성년자가 출입 할 수 있는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / 청소년 출입 가능한 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요. <LOCATION-TYPE_FEATURE>에서 찾아드릴게요. / <LOCATION-TYPE_FEATURE>에서 10대 청소년이 출입 가능한<ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
RECOMMEND_EAT,<강남>의 외부음식 반입 가능한 <호텔> 추천을 희망하시는군요./<잠실>의 외부음식을 들고 들어갈 수 있는 <모텔> 추천해드리겠습니다./<분당>의 외부음식 먹을 수 있는 <호텔>  추천을 희망하시는군요./<연남동>에서 외부음식 반입 할 수 있는 <게스트하우스> 원하시는군요.,<LOCATION-TYPE_FEATURE>에 있는 외부음식 반입 가능한 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에 있는 외부음식을 들고 들어갈 수 있는 <ACCOMMODATION-TYPE_FEATURE> 추천해드리겠습니다. / <LOCATION-TYPE_FEATURE>에 있는 외부음식 먹을 수 있는 <ACCOMMODATION-TYPE_FEATURE> 추천을 희망하시는군요. / <LOCATION-TYPE_FEATURE>에서 외부음식 반입 할 수 있는 <ACCOMMODATION-TYPE_FEATURE> 원하시는군요.,아래에서 많은 분들이 베스트로 추천하신 숙소들을 보여드릴게요!,도움이 되셨나요? 다른 도움이 더 필요하시면 말씀해 주세요.,"죄송합니다. ""침대가 편한 호텔을 추천해줘""와 같이 구체적인 숙소 카테고리를 말씀해 주시겠어요?","죄송하지만, 추천해 드릴 적절한 숙소가 없네요. 대신 인기있는 숙소를 보여 드릴게요."
